nodeName	altName	nodeAttr[nodesPresent, ]
GS1_SS_02240_16896	NA	darkseagreen3
GS1_SS_02242_12914	NA	darkseagreen3
GS1_SS_02248_01200	NA	blue1
GS1_SS_02249_18607	NA	lightskyblue4
GS1_SS_02250_20159	NA	lightskyblue4
GS1_SS_02251_18013	NA	blue1
GS1_SS_02258_00849	NA	lightskyblue4
GS1_SS_02260_13046	NA	lavender
GS1_SS_02267_12660	NA	coral4
GS1_SS_02277_11916	NA	coral4
GS1_SS_02279_09129	NA	blue1
GS1_SS_02283_16101	NA	lavender
GS1_SS_02288_13096	NA	cornflowerblue
GS1_SS_02289_18116	NA	lavender
GS1_SS_02290_15224	NA	lavender
GS1_SS_02292_17661	NA	cornflowerblue
GS1_SS_02294_10881	NA	coral4
GS1_SS_02297_05154	NA	lightskyblue4
GS1_SS_02299_09998	NA	coral4
GS1_SS_02305_11536	NA	lightskyblue4
GS1_SS_02311_06383	NA	lightskyblue4
GS1_SS_02314_11725	NA	lightskyblue4
GS1_SS_02315_09503	NA	lightskyblue4
GS1_SS_02320_15185	NA	darkviolet
GS1_SS_02324_12752	NA	cornflowerblue
GS1_SS_02326_06810	NA	cornflowerblue
GS1_SS_02327_09022	NA	coral4
GS1_SS_02328_19965	NA	blue1
GS1_SS_02329_16706	NA	cornflowerblue
GS1_SS_02332_13676	NA	cornflowerblue
GS1_SS_02333_00941	NA	antiquewhite2
GS1_SS_02337_06060	NA	cornflowerblue
GS1_SS_02338_02948	NA	darkviolet
GS1_SS_02343_19827	NA	cornflowerblue
GS1_SS_02346_14790	NA	lavender
GS1_SS_02355_01484	NA	darkviolet
GS1_SS_02360_09583	NA	cornflowerblue
GS1_SS_02361_16821	NA	lightskyblue4
GS1_SS_02366_19245	NA	lavender
GS1_SS_02370_19794	NA	darkviolet
